title,author,date,tag
Secret Alameda recording reveals exact moment staff learned about FTX deposits,by Tom Mitchelhill,"Oct 14, 2023",
Ethereum price drops to a 7-month low as data points to more downside,by Marcel Pechman,"Oct 13, 2023",
Blockchain gaming sees $2.3B in investments year-to-date: Report,by Ezra Reguerra,"Oct 13, 2023",
Caroline Ellison: Secret recording offers trove of explosive revelations,by Prashant Jha,"Oct 13, 2023",
"French regulator sees DeFi as ‘disintermediated,’ not ‘decentralized’",by David Attlee,"Oct 13, 2023",
Google to protect users in AI copyright accusations,by Amaka Nwaokocha,"Oct 13, 2023",
What happens if SEC doesn’t appeal Grayscale spot Bitcoin ETF ruling?,by Jesse Coghlan,"Oct 13, 2023",
Voyager Digital was ‘no better than a house of cards’ — CFTC commissioner,by Brayden Lindrea,"Oct 13, 2023",
Terraform Labs contends Citadel Securities had a hand in its stablecoin collapse,by Martin Young,"Oct 13, 2023",
US Space Force pauses use of ChatGPT-like tools due to security fears: Report,by Brayden Lindrea,"Oct 13, 2023",
New Senate bill proposes to punish makers of AI-generated deepfakes,by Jesse Coghlan,"Oct 13, 2023",
Crypto trader pleads guilty to ‘cherry picking’ futures scheme,by Tom Mitchelhill,"Oct 13, 2023",
NFTs aren’t dead — they’re just resting,by Tama Churchouse,"Oct 12, 2023",
Mastercard announces successful wrapped CBDC trial results,by Zhiyuan Sun,"Oct 12, 2023",
"Court approves Genesis settlement of $175M to FTX, expunges billions in claims",by Helen Partz,"Oct 12, 2023",
Platypus DeFi loses $2.2M in another flash loan exploit,by Ezra Reguerra,"Oct 12, 2023",
Caroline Ellison testimony: SBF bribed Chinese officials for $150M to unfreeze funds,by Savannah Fortis,"Oct 12, 2023",
"Japanese yen-backed digital currency, DCJPY, to go live in July 2024",by David Attlee,"Oct 12, 2023",
Coinbase spot trading volume falls by 52% compared to 2022: Report,by Ezra Reguerra,"Oct 12, 2023",
BarnBridge DAO votes to comply with SEC order,by David Attlee,"Oct 12, 2023",
"BlackRock seeks court crackdown on 44 copycat sites, some crypto adjacent",by Martin Young,"Oct 12, 2023",
ARK’s amended spot Bitcoin ETF filing is a ‘good sign’ of future approval,by Jesse Coghlan,"Oct 12, 2023",
Alameda Research lost $190M to scams and ‘questionable’ blockchains: Whistleblower,by Tom Mitchelhill,"Oct 12, 2023",
Decentralized finance yet to pose ‘meaningful risk’ to stability — EU regulator,by Martin Young,"Oct 12, 2023",
WOO Network to sever ties with Three Arrows Capital after share buyback,by Tom Mitchelhill,"Oct 12, 2023",
Lido Finance discloses 20 slashing events due to validator config issues,by Brayden Lindrea,"Oct 12, 2023",
"Binance, Snapchat and capital among things SBF was ‘freaking out’ about",by Ana Paula Pereira,"Oct 12, 2023",
Nothing to see here: OpenSea denies exec involved in $60M rug pull: Nifty Newsletter,by Savannah Fortis,"Oct 11, 2023",
Bridging real and virtual worlds: This AR platform takes 3D mapping to a whole new level,by Anatol Hooper,"Oct 11, 2023",
Securities regulators oppose special treatment of crypto in Coinbase case,by Felix Ng,"Oct 11, 2023",
Immutable links with AWS in latest Web3 gaming push,by Martin Young,"Oct 11, 2023",
"British MPs urge action on NFT copyright infringement, crypto fan tokens",by Tom Mitchelhill,"Oct 11, 2023",
Brazil’s Congress puts Binance CEO CZ in crosshairs for indictment,by Tom Mitchelhill,"Oct 11, 2023",
Bitcoin needs Ethereum VM to reach its full potential — Web3 exec,by Brayden Lindrea,"Oct 11, 2023",
Polygon (MATIC) rally comes to an end as competitors devour market share,by Marcel Pechman,"Oct 10, 2023",
Mistake or money laundering? User pays $1.6 million for CrypToadz NFT,by David Attlee,"Oct 10, 2023",
Binance users in Hong Kong lose $450K in wave of fraud texts: HK police,by Tom Mitchelhill,"Oct 10, 2023",
Bitcoin analysts look to November as price action looks to mirror past cycles,by Martin Young,"Oct 10, 2023",
Ordswap urges users to recover keys after losing control of website,by Jesse Coghlan,"Oct 10, 2023",
Friend.tech adds new security upgrade in wake of SIM-swap attacks,by Brayden Lindrea,"Oct 10, 2023",
FTX hacker could be using SBF trial as a smokescreen: CertiK,by Tom Mitchelhill,"Oct 10, 2023",
Chinese government-owned newspaper to launch NFT platform,by Zhiyuan Sun,"Oct 09, 2023",
Astrology NFT project Lucky Star Currency rugged for over $1M — CertiK,by Tom Blackstone,"Oct 09, 2023",
"Binance, OKX to comply with new financial promotions rules in UK",by Helen Partz,"Oct 09, 2023",
OpenSea ‘unaware’ of any involvement of former exec in $60M rug pull,by Tom Mitchelhill,"Oct 09, 2023",
3 reasons why Ethereum price can’t break $2K,by Yashu Gola,"Oct 07, 2023",
